COMUNE;COMUNE ADIACENTE;Provincia;Regione;Provincia comune vicino;Regione comune vicino;Zona appertenenza protezione civile;Sigla provincia
Bobbio;Coli;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bobbio;Corte Brugnatella;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bobbio;Piozzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bobbio;Travo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Borgonovo Val Tidone;Agazzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Borgonovo Val Tidone;Alta Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Borgonovo Val Tidone;Castel San Giovanni;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Borgonovo Val Tidone;Gragnano Trebbiense;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Borgonovo Val Tidone;Pianello Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Borgonovo Val Tidone;Rottofreno;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Borgonovo Val Tidone;Sarmato;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Borgonovo Val Tidone;Ziano Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Cadeo;Carpaneto Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cadeo;Cortemaggiore;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cadeo;Fiorenzuola d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cadeo;Pontenure;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Calendasco;Monticelli Pavese;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Calendasco;Guardamiglio;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Calendasco;Orio Litta;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Calendasco;San Rocco al Porto;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Calendasco;Senna Lodigiana;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Calendasco;Somaglia;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Calendasco;Piacenza;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Calendasco;Rottofreno;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Caorso;Caselle Landi;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Caorso;Castelnuovo Bocca d'Adda;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Caorso;Cortemaggiore;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Caorso;Monticelli d'Ongina;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Caorso;Piacenza;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Caorso;Pontenure;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Caorso;San Pietro in Cerro;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Carpaneto Piacentino;Cadeo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Carpaneto Piacentino;Castell'Arquato;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Carpaneto Piacentino;Fiorenzuola d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Carpaneto Piacentino;Gropparello;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Carpaneto Piacentino;Lugagnano Val d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Carpaneto Piacentino;Pontenure;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Carpaneto Piacentino;San Giorgio Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Castel San Giovanni;Arena Po;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Castel San Giovanni;Bosnasco;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Castel San Giovanni;Pieve Porto Morone;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Castel San Giovanni;Rovescala;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Castel San Giovanni;San Damiano al Colle;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Castel San Giovanni;Borgonovo Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Castel San Giovanni;Sarmato;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Castel San Giovanni;Ziano Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Castell'Arquato;Alseno;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Castell'Arquato;Carpaneto Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Castell'Arquato;Fiorenzuola d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Castell'Arquato;Lugagnano Val d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Castell'Arquato;Vernasca;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Castelvetro Piacentino;Cremona;Piacenza;Emilia-Romagna;Cremona;Lombardia;H2;PC
Castelvetro Piacentino;Gerre de' Caprioli;Piacenza;Emilia-Romagna;Cremona;Lombardia;H2;PC
Castelvetro Piacentino;Spinadesco;Piacenza;Emilia-Romagna;Cremona;Lombardia;H2;PC
Castelvetro Piacentino;Stagno Lombardo;Piacenza;Emilia-Romagna;Cremona;Lombardia;H2;PC
Castelvetro Piacentino;Monticelli d'Ongina;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Castelvetro Piacentino;Villanova sull'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cerignale;Brallo di Pregola;Piacenza;Emilia-Romagna;Pavia;Lombardia;G1;PC
Cerignale;Corte Brugnatella;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Cerignale;Ferriere;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Cerignale;Ottone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Cerignale;Zerba;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Coli;Bettola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Coli;Bobbio;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Coli;Corte Brugnatella;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Coli;Farini;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Coli;Ferriere;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Coli;Travo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Corte Brugnatella;Brallo di Pregola;Piacenza;Emilia-Romagna;Pavia;Lombardia;G1;PC
Corte Brugnatella;Bobbio;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Corte Brugnatella;Cerignale;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Corte Brugnatella;Coli;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Corte Brugnatella;Ferriere;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Cortemaggiore;Besenzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cortemaggiore;Cadeo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cortemaggiore;Caorso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cortemaggiore;Fiorenzuola d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cortemaggiore;Pontenure;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cortemaggiore;San Pietro in Cerro;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Cortemaggiore;Villanova sull'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Farini;Bettola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PR
Farini;Coli;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PR
Farini;Ferriere;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PR
Farini;Morfasso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PR
Farini;Bardi;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Ferriere;Rezzoaglio;Piacenza;Emilia-Romagna;Genova;Liguria;G1;PC
Ferriere;Santo Stefano d'Aveto;Piacenza;Emilia-Romagna;Genova;Liguria;G1;PC
Ferriere;Cerignale;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Ferriere;Coli;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Ferriere;Corte Brugnatella;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Ferriere;Farini;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Ferriere;Ottone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Ferriere;Bardi;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;G1;PC
Ferriere;Bedonia;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;G1;PC
Fiorenzuola d'Arda;Alseno;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Fiorenzuola d'Arda;Besenzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Fiorenzuola d'Arda;Cadeo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Fiorenzuola d'Arda;Carpaneto Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Fiorenzuola d'Arda;Castell'Arquato;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Fiorenzuola d'Arda;Cortemaggiore;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gazzola;Agazzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gazzola;Gossolengo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gazzola;Gragnano Trebbiense;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gazzola;Piozzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gazzola;Rivergaro;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gazzola;Travo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gossolengo;Gazzola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gossolengo;Gragnano Trebbiense;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gossolengo;Piacenza;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gossolengo;Podenzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gossolengo;Rivergaro;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gragnano Trebbiense;Agazzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gragnano Trebbiense;Borgonovo Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gragnano Trebbiense;Gazzola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gragnano Trebbiense;Gossolengo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gragnano Trebbiense;Piacenza;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gragnano Trebbiense;Rottofreno;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Gropparello;Bettola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gropparello;Carpaneto Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gropparello;Lugagnano Val d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gropparello;Morfasso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gropparello;Ponte dell'Olio;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Gropparello;San Giorgio Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Lugagnano Val d'Arda;Carpaneto Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PR
Lugagnano Val d'Arda;Castell'Arquato;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PR
Lugagnano Val d'Arda;Gropparello;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PR
Lugagnano Val d'Arda;Morfasso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PR
Lugagnano Val d'Arda;Vernasca;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PR
Monticelli d'Ongina;Cremona;Piacenza;Emilia-Romagna;Cremona;Lombardia;H2;PC
Monticelli d'Ongina;Crotta d'Adda;Piacenza;Emilia-Romagna;Cremona;Lombardia;H2;PC
Monticelli d'Ongina;Spinadesco;Piacenza;Emilia-Romagna;Cremona;Lombardia;H2;PC
Monticelli d'Ongina;Castelnuovo Bocca d'Adda;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Monticelli d'Ongina;Caorso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Monticelli d'Ongina;Castelvetro Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Monticelli d'Ongina;San Pietro in Cerro;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Monticelli d'Ongina;Villanova sull'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Morfasso;Bettola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Morfasso;Farini;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Morfasso;Gropparello;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Morfasso;Lugagnano Val d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Morfasso;Vernasca;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Morfasso;Bardi;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H1;PC
Morfasso;Bore;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H1;PC
Ottone;Cabella Ligure;Piacenza;Emilia-Romagna;Alessandria;Piemonte;G1;PC
Ottone;Carrega Ligure;Piacenza;Emilia-Romagna;Alessandria;Piemonte;G1;PC
Ottone;Gorreto;Piacenza;Emilia-Romagna;Genova;Liguria;G1;PC
Ottone;Rezzoaglio;Piacenza;Emilia-Romagna;Genova;Liguria;G1;PC
Ottone;Rovegno;Piacenza;Emilia-Romagna;Genova;Liguria;G1;PC
Ottone;Cerignale;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Ottone;Ferriere;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Ottone;Zerba;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Piacenza;Caselle Landi;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Piacenza;Corno Giovine;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Piacenza;San Rocco al Porto;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Piacenza;Santo Stefano Lodigiano;Piacenza;Emilia-Romagna;Carbonia-Iglesias (soppressa 2016);Sardegna;H2;PC
Piacenza;Calendasco;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Piacenza;Caorso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Piacenza;Gossolengo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Piacenza;Gragnano Trebbiense;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Piacenza;Podenzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Piacenza;Pontenure;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Piacenza;Rottofreno;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Pianello Val Tidone;Agazzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Pianello Val Tidone;Alta Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Pianello Val Tidone;Borgonovo Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Pianello Val Tidone;Piozzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Piozzano;Agazzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Piozzano;Alta Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Piozzano;Bobbio;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Piozzano;Gazzola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Piozzano;Pianello Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Piozzano;Travo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Podenzano;Gossolengo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Podenzano;Piacenza;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Podenzano;Pontenure;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Podenzano;Rivergaro;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Podenzano;San Giorgio Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Podenzano;Vigolzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Ponte dell'Olio;Bettola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Ponte dell'Olio;Gropparello;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Ponte dell'Olio;San Giorgio Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Ponte dell'Olio;Vigolzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Pontenure;Cadeo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Pontenure;Caorso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Pontenure;Carpaneto Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Pontenure;Cortemaggiore;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Pontenure;Piacenza;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Pontenure;Podenzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Pontenure;San Giorgio Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Rivergaro;Gazzola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Rivergaro;Gossolengo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Rivergaro;Podenzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Rivergaro;Travo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Rivergaro;Vigolzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Rottofreno;Chignolo Po;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Rottofreno;Monticelli Pavese;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Rottofreno;Borgonovo Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Rottofreno;Calendasco;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Rottofreno;Gragnano Trebbiense;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Rottofreno;Piacenza;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Rottofreno;Sarmato;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
San Giorgio Piacentino;Carpaneto Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
San Giorgio Piacentino;Gropparello;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
San Giorgio Piacentino;Podenzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
San Giorgio Piacentino;Ponte dell'Olio;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
San Giorgio Piacentino;Pontenure;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
San Giorgio Piacentino;Vigolzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
San Pietro in Cerro;Caorso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
San Pietro in Cerro;Cortemaggiore;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
San Pietro in Cerro;Monticelli d'Ongina;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
San Pietro in Cerro;Villanova sull'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Sarmato;Monticelli Pavese;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Sarmato;Pieve Porto Morone;Piacenza;Emilia-Romagna;Pavia;Lombardia;H2;PC
Sarmato;Borgonovo Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Sarmato;Castel San Giovanni;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Sarmato;Rottofreno;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Travo;Alta Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
